,vehicle_id,time,latitude,longitude
1427,23,43,242.73,716.32
1428,24,43,436.76,699.65
1429,25,43,269.41,653.34
1430,23,44,254.49,715.86
1431,24,44,436.42,690.98
1432,25,44,270.06,664.82
1433,23,45,261.72,715.21
1434,24,45,436,680.15
1435,25,45,270.53,675.68
1436,23,46,266.84,711.89
1437,24,46,435.58,669.32
1438,25,46,270.97,687.31
1439,23,47,268.42,705.09
1440,24,47,435.08,658.54
1441,25,47,271.34,697.25
1442,23,48,268.19,698.46
1443,24,48,434.47,648.09
1444,25,48,271.55,702.73
1445,23,49,267.85,689.55
1446,24,49,433.87,637.91
1447,25,49,271.75,709.9
1448,26,49,320.25,716.73
1449,23,50,267.44,678.72
1450,24,50,433.23,627.14
1451,25,50,272.08,719
1452,26,50,317.95,716.84
1453,23,51,266.98,667.39
1454,24,51,432.66,616.19
1455,25,51,273.31,728.56
1456,26,51,313.11,717.07
1457,23,52,266.34,655.45
1458,24,52,432.29,605.29
1459,25,52,273.74,740.5
1460,26,52,306.34,717.39
1461,23,53,265.62,644.21
1462,24,53,431.95,594.91
1463,25,53,274.15,751.49
1464,26,53,297.28,717.82
1465,23,54,264.88,632.52
1466,24,54,431.74,584.43
1467,25,54,274.59,762.35
1468,26,54,287.59,718.28
1469,23,55,264.24,621.45
1470,24,55,431.52,573.02
1471,25,55,275.04,773.84
1472,26,55,282.38,718.52
1473,23,56,263.86,609.96
1474,24,56,431.3,561.9
1475,25,56,275.48,784.71
1476,26,56,280.35,717.09
1477,23,57,263.6,598.88
1478,24,57,430.9,551.11
1479,25,57,275.96,796.65
1480,26,57,282.18,715.32
1481,23,58,263.27,587.31
1482,24,58,430.28,540.33
1483,25,58,276.42,808.12
1484,26,58,287.36,715.08
1485,23,59,262.94,575.31
1486,24,59,429.63,529.25
1487,25,59,276.87,819.58
1488,26,59,294.46,714.75
1489,23,0,262.6,563.73
1490,24,0,429.01,518.6
1491,25,0,277.33,830.86
1492,26,0,303.19,714.34
1493,23,1,262.09,551.78
1494,24,1,428.65,512.44
1495,25,1,277.77,842.05
1496,26,1,313.46,713.85
1497,23,2,261.52,540.48
1498,24,2,428.18,504.01
1499,25,2,278.26,854.12
1500,26,2,326.05,713.26
1501,23,3,261.02,530.43
1502,24,3,427.65,494.18
1503,25,3,278.71,865.38
1504,26,3,340.69,712.9
1505,23,4,260.74,524.87
1506,24,4,427.12,483.83
1507,25,4,279.16,876.69
1508,26,4,356.81,712.57
1509,27,4,262.04,550.73
1510,23,5,260.37,517.26
1511,24,5,426.59,473.28
1512,25,5,279.63,888.45
1513,26,5,375.38,712.19
1514,27,5,261.94,548.89
1515,23,6,259.9,507.19
1516,24,6,426.03,462.29
1517,25,6,280.1,900.27
1518,26,6,394.78,711.31
1519,27,6,261.76,545.27
